County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Death Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Bacon County,13005,49.8,34.3,70.2,7,*,*,*,*
Newton County,13217,49.6,43.8,56,55,falling,-1.5,-6.2,-0.3
Miller County,13201,49.3,30.2,77.5,5,*,*,*,*
Brooks County,13027,49.1,36.5,65.1,11,*,*,*,*
Bleckley County,13023,49,35.2,67.1,8,*,*,*,*
Richmond County,13245,48.9,44.7,53.3,108,stable,-0.6,-1.3,0.2
Evans County,13109,48.6,33.5,68.8,7,*,*,*,*
Irwin County,13155,48.2,32.9,69.1,6,*,*,*,*
Camden County,13039,47.6,39.3,57.1,25,stable,-1.5,-3.2,0.5
Sumter County,13261,46.5,37.1,57.7,17,stable,0.7,-1.0,2.5
Towns County,13281,45.9,35.3,60.8,14,*,*,*,*
Thomas County,13275,45.8,38.4,54.4,28,stable,0.1,-2.0,2.3
Jasper County,13159,45.8,32.9,62.4,9,*,*,*,*
Hart County,13147,45.7,37,56.3,19,stable,-1.0,-2.9,0.9
Muscogee County,13215,45.6,41.7,49.8,101,stable,-0.6,-1.7,0.5
Pickens County,13227,45.6,37.3,55.5,22,stable,0.1,-2.2,3.1
Oglethorpe County,13221,45.3,33.5,60.5,10,*,*,*,*
Wheeler County,13309,45.2,27.4,71,4,*,*,*,*
Appling County,13001,45.1,33.9,59.2,11,*,*,*,*
Meriwether County,13199,45.1,35.2,57.3,15,*,*,*,*
Union County,13291,44.8,36.9,54.7,25,stable,0.6,-0.8,2.3
Monroe County,13207,44.8,35.8,55.6,18,stable,1.1,-1.0,4.0
Gilmer County,13123,44.6,36.9,53.9,24,stable,-0.6,-2.4,1.7
Chatham County,13051,44.5,41.4,47.7,158,stable,0.2,-0.6,1.0
Lee County,13177,43.8,33.3,56.5,12,stable,-0.3,-2.5,2.4
Talbot County,13263,43.5,26.5,70.3,4,*,*,*,*
Mitchell County,13205,43.1,32.9,55.8,12,stable,0.6,-1.2,2.6
Walton County,13297,42.1,36.9,47.9,48,falling,-5.3,-11.3,-2.4
Henry County,13151,41.6,37.5,46,82,stable,-1.2,-2.4,0.1
Coweta County,13077,41,36.4,46,61,falling,-1.8,-3.3,-0.1
Grady County,13131,40,31.3,50.8,14,*,*,*,*
Marion County,13197,39.9,25.6,61.3,5,*,*,*,*
Wilkes County,13317,39.8,27.3,57.7,7,*,*,*,*
McIntosh County,13191,39.8,28.6,55.6,9,*,*,*,*
Lincoln County,13181,39.7,26.5,59.6,6,*,*,*,*
Wilkinson County,13319,39.7,25.8,59.5,5,*,*,*,*
Putnam County,13237,39.4,30.5,50.7,14,*,*,*,*
Bibb County,13021,38.7,34.7,42.9,72,falling,-1.4,-2.5,-0.4
Rockdale County,13247,37.8,32.5,43.7,38,stable,-1.5,-3.8,1.0
Paulding County,13223,37.2,32.6,42.2,52,stable,-1.6,-3.1,0.3
Harris County,13145,36.5,28.7,45.9,16,stable,0.3,-1.7,2.8
Dooly County,13093,36.4,24.8,52.8,6,*,*,*,*
Pulaski County,13235,36.4,23.7,54.6,6,*,*,*,*
Warren County,13301,36.1,20.6,61.8,3,*,*,*,*
Randolph County,13243,35.9,21.3,59.2,4,*,*,*,*
Morgan County,13211,35.2,26,47,10,*,*,*,*
Glynn County,13127,34.4,30.1,39.3,47,falling,-6.9,-14.2,-3.5
Hall County,13139,34.3,31,37.9,80,falling,-2.3,-3.1,-1.6
Columbia County,13073,34.2,30.2,38.6,54,falling,-11.6,-22.2,-0.8
Clayton County,13063,34.1,30.3,38.2,70,falling,-16.7,-22.1,-10.5
Oconee County,13219,33.3,26.2,41.8,15,*,*,*,*
Douglas County,13097,33.3,28.7,38.5,40,falling,-7.4,-16.5,-2.9
Cherokee County,13057,32.9,29.8,36.2,87,falling,-10.0,-17.9,-3.5
Early County,13099,32.5,21.2,48.5,5,*,*,*,*
Forsyth County,13117,32.4,29,35.9,71,falling,-2.2,-3.2,-0.9
Clarke County,13059,31.1,26.5,36.2,34,stable,-0.8,-2.1,0.6
Gwinnett County,13135,30.2,28.3,32.1,204,falling,-6.6,-10.5,-2.2
Hancock County,13141,28.2,16.7,46.7,4,*,*,*,*
Terrell County,13273,26.7,15.7,43.6,4,*,*,*,*
Fayette County,13113,25.7,22.3,29.6,41,falling,-1.7,-3.0,-0.1
Cobb County,13067,25.5,23.8,27.3,176,falling,-9.3,-15.7,-2.5
Greene County,13133,24.8,18,34.3,9,*,*,*,*
Fulton County,13121,24,22.6,25.4,231,falling,-2.2,-2.7,-1.6
DeKalb County,13089,21.9,20.3,23.5,159,falling,-7.7,-10.8,-2.8
Baker County,13007,* ,*, *,3 or fewer,*,*,*,*
Calhoun County,13037,* ,*, *,3 or fewer,*,*,*,*
Chattahoochee County,13053,* ,*, *,3 or fewer,*,*,*,*
Clay County,13061,* ,*, *,3 or fewer,*,*,*,*
Glascock County,13125,* ,*, *,3 or fewer,*,*,*,*
Quitman County,13239,* ,*, *,3 or fewer,*,*,*,*
Stewart County,13259,* ,*, *,3 or fewer,*,*,*,*
Taliaferro County,13265,* ,*, *,3 or fewer,*,*,*,*
Webster County,13307,* ,*, *,3 or fewer,*,*,*,*
